id,Goods
1,柑橘类水果
1,人造黄油
1,即食汤
1,半成品面包
2,咖啡
2,热带水果
2,酸奶
3,全脂牛奶
4,奶油乳酪
4,肉泥
4,仁果类水果
4,酸奶
5,炼乳
5,长面包
5,其他蔬菜
5,全脂牛奶
6,腐蚀性清洁剂
6,黄油
6,白饭
6,全脂牛奶
6,酸奶
7,面包卷
8,瓶装啤酒
8,开胃酒
8,其他蔬菜
8,面包卷
8,超高温杀菌的牛奶
9,盆栽
10,谷物
10,全脂牛奶
11,瓶装水
11,巧克力
11,其他蔬菜
11,热带水果
11,白面包
12,瓶装水
12,黄油
12,柑橘类水果
12,凝乳
12,碗碟
12,面粉
12,热带水果
12,全脂牛奶
12,酸奶
13,牛肉
14,冷冻热狗肠
14,面包卷
14,苏打
15,鸡
15,热带水果
16,黄油
16,水果/蔬菜汁
16,报纸
16,糖
17,水果/蔬菜汁
18,包装水果/蔬菜
19,巧克力
20,特制门锁
21,其他蔬菜
22,酪
22,糕点
23,全脂牛奶
24,奶油乳酪
24,一般清洁剂
24,报纸
24,融化奶酪
24,热带水果
25,浴室清洁剂
25,糖果
25,面粉
25,冷冻甜点
25,其他蔬菜
25,面包卷
25,根茎类蔬菜
25,咸点心
25,甜食
25,热带水果
25,威化饼
26,瓶装水
26,罐装啤酒
27,酸奶
28,巧克力
28,面包卷
28,香肠
28,苏打
29,其他蔬菜
30,黑面包
30,罐装啤酒
30,水果/蔬菜汁
30,报纸
30,购物袋
30,苏打
31,一般饮料
31,瓶装水
31,特制门锁
31,酸奶
32,瓶装水
32,汉堡肉
32,卫生用品
32,餐巾
32,其他蔬菜
32,面包卷
32,香辛料
33,一般饮料
33,其他蔬菜
33,根茎类蔬菜
33,糖
33,全脂牛奶
34,腐蚀性清洁剂
34,甜味剂
34,莓果
34,其他蔬菜
34,猪肉
34,苏打
34,酸奶油
34,全脂牛奶
35,牛肉
35,一般清洁剂
35,葡萄
36,糕点
36,苏打
37,水果/蔬菜汁
38,罐装啤酒
39,甜点
39,其他蔬菜
39,根茎类蔬菜
39,全脂牛奶
40,柑橘类水果
40,报纸
40,面包干
41,罐装啤酒
41,面包卷
41,香肠
41,购物袋
41,苏打
41,特制门锁
42,黑面包
42,糖果
42,谷物
42,咖啡
42,本地蛋类
42,糕点
42,根茎类蔬菜
42,苏打
42,糖
42,热带水果
42,威化饼
42,全脂牛奶
42,酸奶
43,莓果
43,酸奶
44,罐装啤酒
45,瓶装水
45,酪
45,奶油乳酪
45,报纸
45,面包卷
45,苏打
45,水果奶油涂抹酱
45,酸奶
46,咖啡
47,瓶装水
47,糕点
48,面包卷
49,其他饮料
50,瓶装水
50,黄油
50,凝乳
50,硬奶酪
50,长面包
50,其他蔬菜
50,面包卷
50,根茎类蔬菜
50,超高温杀菌的牛奶
50,酸奶油
51,猫食
51,报纸
51,面包卷
51,香肠
52,罐装啤酒
53,葡萄
53,火腿
53,其他蔬菜
53,全脂牛奶
54,发酵粉
54,黑面包
54,凝乳
54,本地蛋类
54,水果/蔬菜汁
54,人造黄油
54,其他蔬菜
54,半成品面包
54,热带水果
54,火鸡
55,腌菜
55,融化奶酪
55,苏打
55,全脂牛奶
55,酸奶
56,凝乳
56,糕点
